prompt,response
What are Active and Passive components?,"Active components are those electrical components which require an external source for its full operation such as Diode, Transistor, Thyristor etc.

Passive components are those components which do not need any external source for its function. Example of passive components is resistor, capacitor & Inductor."
What is Practical & Ideal Voltage Source?,"A voltage source having some internal resistance is called a practical voltage source. Due to this resistance, there is a voltage drop. The supply voltage of the practical voltage source decreases with an increase in the current.     If the internal resistance of a voltage source becomes zero the source is said to be an ideal voltage source. And its voltage does not decrease with the increase in current."
What is Practical & Ideal Current Source?,The ideal current source has infinite internal resistance. Its current does not depend on its supply voltage.  A practical current source has a large internal resistance. Its supply current decreases with the increase in its supply voltage.
What is Norton theorem?,Norton’s theorem states that any 2-terminal linear and bilateral network or circuit having multiple independent and dependent sources can be represented in a simplified equivalent circuit known as Norton’s equivalent circuit.
What is Thevenin theorem?,"Thevenin's theorem states that it is possible to simplify any linear circuit, irrespective of how complex it is, to an equivalent circuit with a single voltage source and a series resistance."
What is a Transistor?,A transistor is a three-terminal semiconductor device. It is can be used for amplifying or switching an electrical signal.
How does the Transistor act as a Switch?,"There are three useful regions of operation of a transistor namely saturation region, cutoff region & active region.
In the active region, the transistor acts as an amplifier.
In the saturation region, the transistor acts as a closed switch.
In the cutoff region, the transistor acts as an open switch.
So to use a transistor as a switch, it needs to be operated in the saturation & cutoff region."
What is meant by Clipper ?,"A clipper is a circuit that clips or cutoff voltage above or below a certain specified level. Positive clipper cuts off a portion of positive half of a signal while negative clipper cuts off from the negative half.

"
What is Clamper?,A clamper is a circuit that adds voltage in the positive or negative half of the signal to a specified peak voltage. A clamper moves the whole signal up and down to reach the specified peak voltage.
What is SCR?,"Silicon controlled rectifier or thyristor is unidirectional semiconductor device but unlike diode, it has three terminals Anode, Cathode & Gate. The SCR can be switched on & off using the gate input."
What is Diode?,A diode is a unidirectional semiconductor device with two terminals called Anode & Cathode. A diode can allow current in only one direction which is known as forward bias.
Difference between Silicon and Germanium Diode & why is Silicon diode preferred?,The voltage drop of a silicon diode is 0.7v and that of germanium diode is 0.3v.  Silicon crystals are more resistant to heat than germanium.  Silicon diode has a high voltage rating than the germanium diode.  Silicon diodes are more preferable because silicon is available in abundant compared to germanium.
What is the main difference between BJT and FET?,"BJT stand for bipolar junction transistor and FET is the acronym for Field Effect Transistor.  BJT is bipolar that is there is a flow of both minority and majority charge carriers, while FET is unipolar that is there is a flow of only majority carriers.  BJT is controlled using the input current (base current) while FET is controlled using the input voltage (Gate voltage).  The input impedance of FET is much higher compared to BJT.  The three terminals of BJT is emitter, base & collector while FET is drain, gate & source"
What is a Transformer?,A transformer is a static electrical device which transfers electrical energy from one circuit to another circuit without any physical connection instead it uses the principles of electromagnetic induction. A transformer either increase or decrease the input voltage & current.
What is Oscillator?,An oscillator is an electronic circuit which generates a periodic AC signal from a DC source. An oscillator has no input. The output of oscillator can be sinusoidal or Square or a triangle wave.
What is Communication?,The transfer of information from one place to another place using some sort of medium is called Communication. The information could be in any form such as a sound or visual or electrical signal etc.
